concepto,tipo_concepto,conteo_total,Categoria_raw,rule_action,include_in_count,es_remap,concepto_canonico,concepto_key,tipo_concepto_key,canon_key,compile_status,issue_reason,duplicate_count,source_rows,categoria_fuente_all
Salsa Verde,complemento,10297.0,Modificadores,direct,True,False,Salsa Verde,salsa verde,complemento,salsa verde,ok,,1,2,Modificadores
Salsa Cacahuate,complemento,7800.0,Modificadores,direct,True,False,Salsa Cacahuate,salsa cacahuate,complemento,salsa cacahuate,ok,,1,3,Modificadores
Limones,complemento,7796.0,Complementos,direct,True,False,Limones,limones,complemento,limones,ok,,1,4,Complementos
BurriPapas,complemento,4964.0,contar como BurriPapas Grandes,count_as,True,True,BurriPapas Grandes,burripapas,complemento,burripapas grandes,ok,,1,5,contar como BurriPapas Grandes
BurriCombo Grande,base,4071.0,Combos,direct,True,False,BurriCombo Grande,burricombo grande,base,burricombo grande,ok,,1,6,Combos
Papas,complemento,3656.0,Complementos,direct,True,False,Papas,papas,complemento,papas,ok,,1,7,Complementos
Combo de Flautas,base,2864.0,Combos,direct,True,False,Combo de Flautas,combo de flautas,base,combo de flautas,ok,,1,8,Combos
Elote,complemento,2259.0,Complementos,direct,True,False,Elote,elote,complemento,elote,ok,,1,10,Complementos
Combo Mega Pollón,base,2086.0,Combos,direct,True,False,Combo Mega Pollón,combo mega pollon,base,combo mega pollon,ok,,1,11,Combos
Pollo,complemento,1863.0,Contar como Flauta de Pollo,count_as,True,True,Flauta de Pollo,pollo,complemento,flauta de pollo,ok,,1,12,Contar como Flauta de Pollo
Res,complemento,1632.0,Contar como Flauta de Res,count_as,True,True,Flauta de Res,res,complemento,flauta de res,ok,,1,13,Contar como Flauta de Res
Original,complemento,1587.0,Alimentos,direct,True,False,Original,original,complemento,original,ok,,1,14,Alimentos
Crema,complemento,1544.0,Complementos,direct,True,False,Crema,crema,complemento,crema,ok,,1,15,Complementos
Cerveza Botella,base,1431.0,Bebidas Alcohólicas,direct,True,False,Cerveza Botella,cerveza botella,base,cerveza botella,ok,,1,16,Bebidas Alcohólicas
Refrescos,base,1273.0,No contar,exclude,False,False,Refrescos,refrescos,base,refrescos,ok,,1,17,No contar
Asada Combo,complemento,1266.0,Contar como Burrito de Asada,count_as,True,True,Burrito de Asada,asada combo,complemento,burrito de asada,ok,,1,18,Contar como Burrito de Asada
Chilangazo Combo,complemento,1237.0,Contar como Burrito Chilangazo,count_as,True,True,Burrito Chilangazo,chilangazo combo,complemento,burrito chilangazo,ok,,1,19,Contar como Burrito Chilangazo
Picante,complemento,1215.0,Modificadores,direct,True,False,Picante,picante,complemento,picante,ok,,1,20,Modificadores
Santi Combo,complemento,1212.0,Contar como Burrito Santi,count_as,True,True,Burrito Santi,santi combo,complemento,burrito santi,ok,,1,21,Contar como Burrito Santi
BurriCombo,base,1166.0,Combos,direct,True,False,BurriCombo,burricombo,base,burricombo,ok,,1,22,Combos
Ensalada de Col,complemento,1009.0,Complementos,direct,True,False,Ensalada de Col,ensalada de col,complemento,ensalada de col,ok,,1,23,Complementos
Coca Regular Combo,complemento,999.0,Contar como Coca-Cola Regular,count_as,True,True,Coca-Cola Regular,coca regular combo,complemento,coca-cola regular,ok,,1,24,Contar como Coca-Cola Regular
Norteño Combo,complemento,966.0,Contar como Burrito Norteño New York,count_as,True,True,Burrito Norteño New York,norteno combo,complemento,burrito norteno new york,ok,,1,25,Contar como Burrito Norteño New York
Chicharron,complemento,929.0,Contar como Flauta de Chicharron,count_as,True,True,Flauta de Chicharron,chicharron,complemento,flauta de chicharron,ok,,1,26,Contar como Flauta de Chicharron
PEPSI,complemento,826.0,Bebidas,direct,True,False,PEPSI,pepsi,complemento,pepsi,ok,,1,27,Bebidas
Agua Jamaica Embotellada,complemento,816.0,Bebidas,direct,True,False,Agua Jamaica Embotellada,agua jamaica embotellada,complemento,agua jamaica embotellada,ok,,1,28,Bebidas
Flauta de Pollo,base,744.0,Alimentos,direct,True,False,Flauta de Pollo,flauta de pollo,base,flauta de pollo,ok,,1,29,Alimentos
Medianas,complemento,744.0,Alimentos,direct,True,False,Medianas,medianas,complemento,medianas,ok,,1,30,Alimentos
Jamaica Embotellada,complemento,703.0,Bebidas,direct,True,False,Jamaica Embotellada,jamaica embotellada,complemento,jamaica embotellada,ok,,1,31,Bebidas
Horchata Embotellada,complemento,697.0,Bebidas,direct,True,False,Horchata Embotellada,horchata embotellada,complemento,horchata embotellada,ok,,1,32,Bebidas
Burrito Norteño New York,base,670.0,Alimentos,direct,True,False,Burrito Norteño New York,burrito norteno new york,base,burrito norteno new york,ok,,1,33,Alimentos
Burrito de Asada,base,662.0,Alimentos,direct,True,False,Burrito de Asada,burrito de asada,base,burrito de asada,ok,,1,34,Alimentos
